 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
105.70 H 22E3  12.500 KO38FC     Klassikaraadio,Pikareinu/Valgjärve raadio- ja telemast (PLV) 
105.80 V 24F4   1.000 KO29KL     Tre Raadio,Tallinn/Pirita/Tallinna Teletorn, Kloostrimetsa tee 58A (HAR) 
105.90 H 22E1  26.500 KO18NN     Vikerraadio,Orissaare/Orissaare RTJ, Kuivastu mnt. 1 (SAA) 
106.00 V 22E1   1.000 KO39EL     Vikerraadio,Pehka/Möldre (L-V) 
106.10 H 22E1  30.000 KO38FC     Vikerraadio,Pikareinu/Valgjärve raadio- ja telemast (PLV) 
106.30 V 22E3   2.000 KO18SW     Klassikaraadio,Uuemõisa/Haapsalu RTJ, Masti tn. 4 (LAE) 
       V 2301   0.150 KO39NI     Star FM,Kohtla-Nõmme/Kohtla-Nõmme raadio- ja telemast, Karikakra tn. 28 (IDA) 
106.60 V 22E3  30.000 KO29KL     Klassikaraadio,Tallinn/Pirita/Tallinna Teletorn, Kloostrimetsa tee 58A (HAR) 
106.70 V 22E1   0.100 KO38II     Vikerraadio,Tartu, Soola tn. 8 (TAR) 
106.80 V 22EE   1.000 KO28AU     Sky Plus,Päri/Lemmiküla Telia mast (LAE) 
106.90 V 20A4   1.000 KO39NI     Radio Volna,Kohtla-Nõmme/Kohtla-Nõmme raadio- ja telemast, Karikakra tn. 28 (IDA) 
107.00 V 22E3   1.000 KO18EJ     Klassikaraadio,Sauvere (SAA) 
       V 22E1   0.290 KO28TI     Vikerraadio,Viiratsi/Elisa mast (VIL) 
107.10 V 20A4   0.500 KO29KL     Radio Volna,Tallinn/Pirita/Tallinna Teletorn, Kloostrimetsa tee 58A (HAR) 
107.30 H 22E3  10.000 KO28HJ     Klassikaraadio,Pärnu/Tammiste/Pärnu RTJ, Tammiste tee 12 (PAE) 
107.60 V 22E3   6.000 KO38AX     Klassikaraadio,Kapu/Koeru raadio- ja telemast (JAE) 
107.80 H 22E3  10.000 KO18NN     Klassikaraadio,Orissaare/Orissaare RTJ, Kuivastu mnt. 1 (SAA) 
107.90 V 24EF   0.620 KO49CJ     Sky Radio,Narva/Narva Telemast, Hariduse tn. 18 (IDA) 
