105.30 H 7207   5.000 JM56EQ     RTT Radio Nationale,Ben Arous/Djebel Bou-Kornine (TUN) 
105.40 H 7212  35.500 JM44OK     RTT Radio Culture,Gafsa/Djebel Biadha (GAF) 
105.50   7239         JM55HT     Mahdia FM - MFM,Sousse (SOU) 
105.60   7222         JM56HJ     Radio Cap FM,Al Hammamat=Hammamet (NAB) 
105.70 V 7205   0.830 JM53KT     RTT Radio Tataouine,Djerba/Ouallarh (MED) 
       V              JM55IM     ,Zeramdine (MON) (p)
105.80 H 7209   3.800 JM46NL     Mosaïque FM,Beja/Gorraa (BEJ) 
                      JM56CT     Radio Holy Qur'an,unknown (TUN) 
105.90 H 7212   1.000 JM43BW     RTT Radio Culture,Tozeur (TOZ) 
106.00 H        1.100 JM52FC     ,Remada (TAT) (p)
         7214         JM57MB     Express FM,El Haouaria/Cap Bon (NAB) 
106.10 V 7203   6.000 JM55JS     RTT Radio Monastir,Monastir (MON) 
       H 7207   5.600 JM53MM     RTT Radio Nationale,Zarzis (MED) 
106.20 H 7209   5.000 JM47XC     Mosaïque FM,Bizerte/Djebel Kochabta [Kchabta] (BIZ) 
       V 7205   0.126 JM52DU     RTT Radio Tataouine,Douret (TAT) 
106.30 H 7211  42.000 JM45IE     Radio Zitouna FM,Kasserine/Djebel ech Chambi (KAS) 
106.40                JM52FW     RTT Radio Nationale,Tataouine 
106.50   7213   1.000 JM56JT     Shems FM,Kef-Errand (NAB) 
       V        1.000 JM52FW     ,Tataounie/Brourmet (TAT) (p)
106.60 H 7204  60.250 JM54IW     RTT Radio Sfax,Sfax/El-Ghraba (SFA) 
       H        0.200 JM45GU     Radio Zitouna FM,Sidi Salem (ELK) 
106.70 H 7208         JM46IW     RTT Radio Kef,Tabarka (JEN) 
106.90 V 7231   5.000 JM56EQ     Misk FM,Ben Arous/Djebel Bou-Kornine (TUN) 
       V 7207   1.000 JM53AT     RTT Radio Nationale,Gabès/El M Dou (GAB) 
         7237         JM55JS     Ribat FM,Monastir (MON) 
107.00 H 7209  79.400 JM52FC     Mosaïque FM,Remada (TAT) 
         7209   5.000 JM46IS     Mosaïque FM,Aïn Draham/Djebel Al-Bi'r (JEN) 
       V 7213   3.800 JM45TN     Shems FM,Kairouan/Djebel Trozza (KAI) 
107.20 V        1.000 JM43BW     ,Tozeur (TOZ) (p)
107.30 H        5.600 JM53MM     ,Zarzis (MED) (p)
       H        2.818 JM47XC     ,Bizerte/Djebel Kochabta [Kchabta] (BIZ) (p)
       H 7210   1.000 JM55HT     Jawhara FM,Sousse/Khezama (SOU) 
       H        0.100 JM56EU     Saraha FM,Sidi Bou Saïd (TUN) (i)
         7229         JM47XC     Radio iFM,Bizerte/Djebel Kochabta [Kchabta] (BIZ) 
107.40                JM44VU     Radio 3R,Regueb (SID) 
107.50 H       44.700 JM54IW     ,Sfax/El-Ghraba (SFA) (p)
       H 7209   5.000 JM55MM     Mosaïque FM,Mahdia (MAH) 
107.60                JM45KE     Radio K FM - - Kasserine FM,Kasserine (KAS) 
107.70 V        1.000 JM52FW     ,Tataounie/Brourmet (TAT) (p)
107.80   7209 100.000 JM56BI     Mosaïque FM,Zaghouan/Djebel Zaghouan (ZAG) 
108.00 H        5.000            Al Karma FM,Ain El Karma 
