 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 94.60 H B203   2.300 KN08IL     MR 1 Kossuth Radió,Aggtelek / Perkupa (BAZ) 
       H B3AA   0.158 JN87WC     Magyar Katolikus Radió,Veszprem / High-rise, Kossuth utca (VES) 
       H B41B   0.100 JN96CB     Karc FM,Pecs/Megyer-Diana ter (BAR) 
 94.70 V B317   0.100 KN07SI     Radió 1,Derecske (HAB) 
 94.80 H B201  77.600 JN97LM     MR 2 PetQfi Radió,Budapest/Szechenyi-hegy (BUD) 
       V        0.150 JN86IK     ,Letenye (ZAL) (c)
 94.90 H B208   1.000 KN06BF     Retro Radió,Szeged / Újszeged, Lövölde str. (CSO) 
 95.00 H B203   1.000 JN87PU     MR 1 Kossuth Radió,Mosonmagyaróvar/Kalnok-szög (GMS) 
       V B317   0.500 KN07TM     Radió 1,Debrecen / High-rise, PetQfi sq. (HAB) 
       H B203   0.100 JN96PD     MR 1 Kossuth Radió,Bacsalmas / Waterworks (BAK) 
 95.10 V BD17   1.000 JN86KU     Egerszeg Radió,Zalaegerszeg / Landorhegy, High-rise (ZAL) 
       H B201   1.000 JN96PO     MR 2 PetQfi Radió,CsengQd/KiskQrös (BAK) 
       H B4A3   1.000 KN08JC     Szent Istvan Radió,Miskolc / Avas (BAZ) 
       V B9CC   0.070 JN87WC     Maria Radió,Veszprem / High-rise, Kossuth utca (VES) 
 95.20 V B1CC   0.126 JN87LG     Maria Radió,Sarvar / Park Inn Water tower (VAS) 
 95.30 V        1.000 JN97LM     ,Budapest/Szechenyi-hegy (BUD) (c)
 95.40 V B00E   1.000 KN06BG     Radio 88,Szeged/toronyhaz-Temesvari körut 34 (CSO) 
       V B4A3   1.000 KN08NH     Szent Istvan Radió,Encs / near Forró (BAZ) 
 95.50 H B203  20.000 KN07AU     MR 1 Kossuth Radió,Kekes (HEV) 
 95.60 V        0.910 KN07UM     ,Debrecen (HAB) (c)
       V B317   0.100 JN86ML     Radió 1,Nagykanizsa / Water tower (ZAL) 
       V        0.100 JN96PM     ,Kecel / Water tower, Liget str. (BAK) (p)
       H B206   0.032 JN87WC     Dankó Radió,Veszprem / OMSZ Almadi ut 36 (VES) 
 95.70 V B028   1.000 JN98PB     Radio Megafon,Balassagyarmat / Springa-domb (NOG) 
       V B208   0.200 KN06DO     Retro Radió,Szentes (CSO) 
 95.80 V B40C   2.000 JN97LM     95.8 Slager FM,Budapest/Szechenyi-hegy (BUD) 
       V B317   0.645 JN86KU     Radió 1,Zalaegerszeg / Village Museum (ZAL) 
 95.90 H B203  25.200 JN96CC     MR 1 Kossuth Radió,Pecs-MisinatetQ (BAR) 
       H B4A1   0.100 KN08HG     Radió M,Kazincbarcika / FQ ter (BAZ) 
 96.00 V B206   0.250 KN06PP     Dankó Radió,Gyula / High-rise, Budapest blvd. 49. (BEK) 
       V B203   0.200 JN87KG     MR 1 Kossuth Radió,Sarvar/Ipartelep utca (VAS) 
 96.10 V B3AA   0.100 JN97FE     Magyar Katolikus Radió,Szekesfehervar/ Öreghegy, Donat str. 92. (FEJ) 
